Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
04/07/2020 19:00:56,27.1305,13.17417,1905.41,11.7725,14.99773,2.06067,
04/07/2020 18:00:56,28.82567,12.51646,1896.93,12.18358,15.57228,2.20366,
04/07/2020 17:00:56,24.84017,11.31901,1911.42,12.94201,17.34439,2.78725,
04/07/2020 16:00:56,22.382,12.2422,1902.73,12.0066,15.4176,2.20145,
04/07/2020 15:00:56,27.3015,12.3324,1903.22,11.57971,15.26955,2.41274,
04/07/2020 14:00:56,26.65098,11.98546,1911.4,12.06959,16.00869,2.56002,
04/07/2020 13:00:56,23.62957,12.32269,1912.52,13.06547,16.54287,2.27776,
04/07/2020 12:00:56,23.76,,,,,,
04/07/2020 11:00:56,27.60912,,,,,,
04/07/2020 10:00:56,27.64,,,,,,
04/07/2020 09:00:56,,,,,,,
04/07/2020 08:00:56,26.17023,,,,,,
04/07/2020 07:00:56,27.38877,12.86091,,2.66908,3.19774,0.34537,
04/07/2020 06:00:56,,,,,,,
04/07/2020 05:00:56,28.11,,,,,,
04/07/2020 04:00:56,29.23698,11.3464,1882.6,,3.0206,,
04/07/2020 03:00:56,,,,,,,
04/07/2020 02:00:56,25.67,,,,,,
04/07/2020 01:00:56,26.0515,12.06897,1883.81,5.2768,5.97914,0.44747,
04/07/2020 00:00:56,26.34324,,,,,,
04/06/2020 23:00:56,,,,,,,
04/06/2020 22:00:56,30.65,11.78054,1890.01,6.675,7.64205,0.62572,
04/06/2020 21:00:56,30.18767,12.32487,1903.22,12.63991,15.57961,1.93264,
04/06/2020 20:00:56,31.99517,13.0012,1900.76,14.49137,17.38327,1.93805,
04/06/2020 19:00:56,34.01217,13.06462,1922.35,13.53154,16.23352,1.75432,
04/06/2020 18:00:56,35.12683,13.55602,1919.35,12.84705,15.71059,1.83766,
04/06/2020 17:00:56,64.79917,13.98888,1899.94,10.92134,12.93181,1.29522,
04/06/2020 16:00:56,57.2315,13.29569,1905.13,11.29482,13.77118,1.56457,
04/06/2020 15:00:56,35.468,13.28593,1916.34,12.2709,15.00283,1.76305,
04/06/2020 14:00:56,36.1605,13.60392,1917.71,12.40569,15.49835,1.8121,
04/06/2020 13:00:56,36.71217,13.20388,1926.45,10.69796,12.60327,1.23744,
04/06/2020 12:00:56,35.3455,13.4141,1938.21,10.25565,12.61091,1.53443,
04/06/2020 11:00:56,34.25767,13.10365,1941.49,14.81131,17.77395,1.91726,
04/06/2020 10:00:56,32.64217,13.34048,1943.67,16.25646,19.90488,2.36473,
04/06/2020 09:00:56,33.93833,13.28371,1945.59,12.58436,14.84604,1.44347,
04/06/2020 08:00:56,31.77667,13.53473,1965.81,10.52016,12.529,1.30881,
04/06/2020 07:00:56,30.50883,13.52143,1955.97,8.43511,9.93985,0.96081,
04/06/2020 06:00:56,35.70517,15.12926,1939.83,7.6378,8.8755,0.81512,
04/06/2020 05:00:56,40.53217,14.45386,1922.08,8.2353,9.45452,0.81263,
04/06/2020 04:00:56,42.2,,,,,,
04/06/2020 03:00:56,43.61,,,,,,
04/06/2020 02:00:56,35.95433,14.73218,1973.74,9.83373,11.20942,0.89597,
04/06/2020 01:00:56,30.4265,14.84483,1944.22,7.65342,8.69609,0.66746,
04/06/2020 00:00:56,29.823,14.60978,1942.58,6.83763,7.73468,0.60833,
04/05/2020 23:00:56,33.3095,14.56676,1938.21,10.7926,12.10901,0.82738,
04/05/2020 22:00:56,28.54683,15.01957,1941.76,11.23937,12.68803,0.95375,
04/05/2020 21:00:56,22.81233,16.20194,1949.96,10.38726,12.07874,1.11586,
04/05/2020 20:00:56,20.37583,16.01035,1970.19,10.20434,11.95414,1.15015,
04/05/2020 19:00:56,19.259,16.11901,1982.21,8.50744,10.01187,0.94668,
04/05/2020 18:00:56,21.637,16.80821,1974.01,7.01385,8.1824,0.88072,
04/05/2020 17:00:56,26.46967,16.19972,1978.39,5.42371,6.44854,0.8218,
04/05/2020 16:00:56,24.48083,16.57847,1975.11,8.29967,9.97873,1.08073,
04/05/2020 15:00:56,17.29083,16.74479,1958.43,6.18819,8.17412,1.26467,
04/05/2020 14:00:56,11.87933,15.91012,1969.09,7.66107,9.76745,1.47074,
04/05/2020 13:00:56,11.6895,16.64145,1961.99,7.0881,9.16995,2.01553,
04/05/2020 12:00:56,13.6115,16.27202,1971.28,4.69842,5.40745,0.51149,
04/05/2020 11:00:56,14.8695,16.44365,1953.79,4.78064,5.59196,0.58152,
04/05/2020 10:00:56,12.81831,16.06446,1942.31,,3.01044,,
04/05/2020 09:00:56,13.712,16.45962,1946.41,,2.55379,,
04/05/2020 08:00:56,10.578,16.60109,1948.87,,3.82952,,
04/05/2020 07:00:56,11.52517,16.57581,1945.31,21.21156,28.71658,4.75785,
04/05/2020 06:00:56,15.45167,16.42281,1956.7,10.32416,11.58672,0.83063,
04/05/2020 05:00:56,13.5525,17.42305,1955.52,,3.00503,,
04/05/2020 04:00:56,13.69617,15.87807,1949.69,,2.50536,,
04/05/2020 03:00:56,17.65067,16.05293,1953.79,,4.63533,,
04/05/2020 02:00:56,16.47433,16.46716,1954.06,,3.66945,,
04/05/2020 01:00:56,14.83288,16.75144,1974.56,10.81618,12.31774,0.94855,
04/05/2020 00:00:56,17.91783,16.39265,1975.65,9.03038,9.82354,0.51085,
04/04/2020 23:00:56,15.2475,16.9723,1994.24,7.52149,9.12693,1.21328,
04/04/2020 22:00:56,15.75567,17.324,2013.65,10.92007,13.86168,1.84265,
04/04/2020 21:00:56,15.36817,16.22279,2016.11,12.10647,15.88171,2.59309,
04/04/2020 20:00:56,15.37867,16.83615,2020.21,9.97713,12.64788,1.82706,
04/04/2020 19:00:56,21.99833,17.50007,2019.11,11.3474,15.35336,2.34685,
04/04/2020 18:00:56,25.84033,17.59675,2142.11,15.74468,22.11419,4.07769,
04/04/2020 17:00:56,22.28083,16.89912,2179.83,15.70357,21.31944,3.51134,
04/04/2020 16:00:56,19.12967,17.82471,2124.07,14.26894,20.10595,3.73705,
04/04/2020 15:00:56,19.88967,17.87749,2110.68,14.1641,21.32517,4.68124,
04/04/2020 14:00:56,23.37,17.48898,2117.51,23.85316,38.54146,9.51399,
04/04/2020 13:00:56,33.20627,18.40348,2139.65,27.88461,45.83351,11.64282,
04/04/2020 12:00:56,39.2855,18.56624,2643.95,42.55602,133.35053,59.10032,
04/04/2020 11:00:56,44.26475,18.41722,2680.58,38.70175,123.12834,54.99145,
04/04/2020 10:00:56,42.02367,17.35504,3002.02,28.55572,116.20722,57.17266,
04/04/2020 09:00:56,34.44864,16.82905,2509.2,27.52324,111.90044,54.8071,
04/04/2020 08:00:56,38.69133,16.09949,2617.99,26.31709,94.34987,44.35371,
04/04/2020 07:00:56,48.98467,16.43567,2731.97,23.16239,82.44629,38.67113,
04/04/2020 06:00:56,49.85283,16.00813,2702.17,23.6477,95.64489,46.95985,
04/04/2020 05:00:56,42.888,16.69778,2713.29,27.15645,103.88406,50.06061,
04/04/2020 04:00:56,52.11033,16.48401,2578.72,20.67095,36.30187,10.19069,
04/04/2020 03:00:56,51.124,15.04448,2687.14,24.10203,40.12842,10.39478,
04/04/2020 02:00:56,42.58683,15.16726,2797.02,29.56972,53.23996,15.32542,
04/04/2020 01:00:56,58.5075,14.43814,2329.07,29.84281,42.03564,8.06393,
04/04/2020 00:00:56,65.10883,15.45997,2610.33,39.23775,67.65644,18.53271,
04/03/2020 23:00:56,48.392,15.3655,2762.58,45.05086,94.0704,31.89992,
04/03/2020 22:00:56,32.20717,15.92875,2320.33,46.05434,66.87411,13.58773,
04/03/2020 21:00:56,32.9895,16.04938,2058.75,49.43189,85.30006,23.27422,
04/03/2020 20:00:56,34.60864,17.2588,2058.2,49.22508,77.08961,18.4716,
04/03/2020 19:00:56,29.37217,17.47479,2033.33,35.69003,72.84401,24.4094,
04/03/2020 18:00:56,29.18983,16.33987,2060.93,34.85353,49.31717,9.29846,
04/03/2020 17:00:56,31.51067,16.55275,2048.63,39.20078,57.74463,12.08551,
04/03/2020 16:00:56,24.5655,16.30483,2101.39,39.39007,57.18505,11.57777,
04/03/2020 15:00:56,19.213,16.46183,1946.68,21.01766,32.45461,7.54477,
04/03/2020 14:00:56,27.26667,16.36249,1928.37,19.83254,26.43882,4.24167,
04/03/2020 13:00:56,26.51233,15.42316,2038.25,37.03225,52.25496,9.78105,
04/03/2020 12:00:56,20.37467,14.90249,2148.67,41.77911,59.05626,11.15067,
04/03/2020 11:00:56,18.38817,14.69449,2191.04,47.35928,67.00317,12.81209,
04/03/2020 10:00:56,14.1605,14.84261,2079.52,50.91401,83.22904,21.1433,
04/03/2020 09:00:56,9.46167,14.46874,1986.04,36.38632,49.82736,8.77161,
04/03/2020 08:00:56,7.9015,14.56099,1954.88,12.69249,15.08345,1.79291,
04/03/2020 07:00:56,8.4745,13.98045,1932.74,15.29536,19.52534,3.34478,
04/03/2020 06:00:56,12.55583,14.2022,1923.17,,4.6827,,
04/03/2020 05:00:56,12.93383,13.98533,1909.23,,3.47361,,
04/03/2020 04:00:56,13.14695,14.7956,1917.71,6.76243,7.64386,0.67426,
04/03/2020 03:00:56,14.18833,16.11975,1913.1,5.00625,6.40456,0.9177,
04/03/2020 02:00:56,16.91633,15.71957,1915.52,,6.96446,,
04/03/2020 01:00:56,18.4785,15.93096,1897.21,8.64734,9.64923,0.79783,
04/03/2020 00:00:56,17.23383,16.22146,1911.69,,6.54573,,
